Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=20.739899, sog_mes=0.000000, toa=1212.320007, id=1, nb_error= 15, nb_r=65, perc.=0.230769 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.141266, sog_mes=0.000000, toa=1241.841156, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=29.802032, sog_mes=0.000000, toa=1262.221130, id=1, nb_error= 12, nb_r=75, perc.=0.160000 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.940094, sog_mes=0.000000, toa=1272.079926, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=20.739807, sog_mes=0.300000, toa=1272.319427, id=1, nb_error= 15, nb_r=65, perc.=0.230769 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.142914, sog_mes=0.000000, toa=1301.841949, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=21.241455, sog_mes=0.100000, toa=1302.739532, id=1, nb_error= 16, nb_r=67, perc.=0.238806 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=19.879181, sog_mes=2.400000, toa=1311.778839, id=1, nb_error= 14, nb_r=84, perc.=0.166667 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.957489, sog_mes=0.000000, toa=1332.080048, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard (ship at anchor), channel=1, mmsi=227306100, delta t=360.583557, sog_mes=0.200000, toa=1341.642670, id=3, nb_error= 1, nb_r=4 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227002630, delta t=18.812042, sog_mes=0.000000, toa=1345.899963, id=1, nb_error= 1, nb_r=89, perc.=0.011236 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.957855, sog_mes=0.000000, toa=1392.080322, id=1, nb_error= 26, nb_r=57, perc.=0.456140 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227002630, delta t=18.784027, sog_mes=0.000000, toa=1405.882416, id=1, nb_error= 2, nb_r=86, perc.=0.023256 
