Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=30 , toa=1567.999603, slot_increment = 0, keep_flag = 0, nb_error= 3, nb_r=7, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=116 , toa=1570.281830, slot_increment = 0, keep_flag = 0, nb_error= 4, nb_r=8, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=235000322, mes id = 3, TS=755 , toa=1587.321777, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=818 , toa=1589.018005, slot_increment = -1, keep_flag = -1, nb_error= 21, nb_r=76, perc.=0.276316
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227612860, mes id = 3, TS=1138 , toa=1597.539490, slot_increment = 0, keep_flag = 0, nb_error= 1, nb_r=73, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1206 , toa=1599.360107, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=77, perc.=0.285714
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227998200, mes id = 3, TS=1237 , toa=1600.179260, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=538009439, mes id = 3, TS=1320 , toa=1602.399536, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1551 , toa=1608.560883, slot_increment = -1, keep_flag = -1, nb_error= 23, nb_r=78, perc.=0.294872
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=310805000, mes id = 3, TS=1619 , toa=1610.361725, slot_increment = 5308, keep_flag = 0, nb_error= 1, nb_r=4, 
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=267 , toa=1634.320557, slot_increment = 474, keep_flag = 1, nb_error= 6, nb_r=84, perc.=0.071429
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=402 , toa=1637.920929, slot_increment = -1, keep_flag = -1, nb_error= 21, nb_r=75, perc.=0.280000
